Año,NoMes,Mes,Costo diario (Q),Costo mensual (Q),Variación mensual %,Variación interanual %
2014,9,Septiembre,104.12,3124,1.26,10.06
2014,10,Octubre,106.45,3194,2.24,12.40
2014,11,Noviembre,107.27,3218,0.77,11.10
2014,12,Diciembre,107.89,3237,0.58,11.61
2015,1,Enero,108.24,3247,0.32,11.12
2015,2,Febrero,109.39,3282,1.06,12.02
2015,3,Marzo,109.41,3282,0.02,11.45
2015,4,Abril,110.50,3315,1.00,11.75
2015,5,Mayo,111.95,3359,1.31,12.63
2015,6,Junio,113.52,3406,1.40,13.06
2015,7,Julio,114.09,3423,0.50,12.63
2015,8,Agosto,114.03,3421,-0.05,10.90
2015,9,Septiembre,114.56,3437,0.46,10.03
2015,10,Octubre,116.92,3508,2.06,9.84
2015,11,Noviembre,118.02,3541,0.94,10.02
2015,12,Diciembre,119.66,3590,1.39,10.91
2016,1,Enero,122.07,3662,2.01,12.77
2016,2,Febrero,122.39,3672,0.27,11.88
2016,3,Marzo,122.28,3668,-0.09,11.76
2016,4,Abril,123.25,3697,0.79,11.54
2016,5,Mayo,124.56,3737,1.07,11.26
2016,6,Junio,125.78,3773,0.98,10.80
2016,7,Julio,127.77,3833,1.58,11.99
2016,8,Agosto,128.29,3849,0.40,12.50
2016,9,Septiembre,127.54,3826,-0.58,11.33
2016,10,Octubre,130.19,3906,2.08,11.35
2016,11,Noviembre,131.27,3938,0.83,11.22
2016,12,Diciembre,131.96,3959,0.53,10.28
2017,1,Enero,135.98,4079,3.05,11.40
2017,2,Febrero,136.62,4099,0.47,11.63
2017,3,Marzo,137.45,4123,0.61,12.40
2017,4,Abril,137.94,4138,0.36,11.92
2017,5,Mayo,139.02,4171,0.78,11.61
2017,6,Junio,145.04,4351,4.33,15.32
2017,7,Julio,148.47,4454,2.36,16.20
2017,8,Agosto,143.73,4312,-3.19,12.04
2017,9,Septiembre,140.38,4211,-2.33,10.07
